#,Slug Name,Descriptive Name,Employer,Client,Title,Codename,Project Start Date raw,Y start,M start,D start,Project End Date raw,Y end,M end ,D end,Days,Biz Days,midpoint,midpoint Y,1.25
53,KPLAYER-5000,KPLAYER-5000 Movie Player 2,Kaleidescape,,Senior Mechanical Design Engineer,apollo?,3/1/2008,2008,3,1,12/1/2008,2008,12,1,275,196,7/16/2008,2008,343.75
52,KPLAYER-2500,KPLAYER-2500 1U Player,Kaleidescape,,Senior Mechanical Design Engineer,,3/2/2008,2008,3,2,12/2/2008,2008,12,2,275,197,7/17/2008,2008,343.75
51,KSERVER-2500,KSERVER-2500 5U Server,Kaleidescape,,Senior Mechanical Design Engineer,,3/3/2008,2008,3,3,12/3/2008,2008,12,3,275,198,7/18/2008,2008,343.75
50,Mbox 2 Micro,,Digidesign,,Senior Mechanical Designer,,10/1/2007,2007,10,1,4/1/2008,2008,4,1,183,132,12/31/2007,2007,228.75
49,003 Rack,,Digidesign,,Senior Mechanical Designer,,5/1/2007,2007,5,1,10/1/2007,2007,10,1,153,110,7/16/2007,2007,191.25
48,Mbox 2 Mini,,Digidesign,,Senior Mechanical Designer,,2/1/2007,2007,2,1,5/1/2007,2007,5,1,89,64,3/17/2007,2007,111.25
47,Mbox 2 Pro,,Digidesign,,Senior Mechanical Designer,,6/1/2006,2006,6,1,11/1/2006,2006,11,1,153,110,8/16/2006,2006,191.25
46,003,,Digidesign,,Senior Mechanical Designer,,6/1/2006,2006,6,1,2/1/2007,2007,2,1,245,176,10/1/2006,2006,306.25
45,Control 24,,Digidesign,,Senior Mechanical Designer,Curtis,8/1/2006,2006,8,1,7/1/2007,2007,7,1,334,239,1/15/2007,2007,417.5
44,Mbox 2,,Digidesign,,Senior Mechanical Designer,,9/1/2005,2005,9,1,11/1/2005,2005,11,1,61,44,10/1/2005,2005,76.25
43,Profile,,Digidesign,,Senior Mechanical Designer,Capaldi / Lux?,2/1/2005,2005,2,1,7/1/2005,2005,7,1,150,109,4/17/2005,2005,187.5
42,D-Show,,Digidesign,,Senior Mechanical Designer,,2/1/2005,2005,2,1,7/1/2005,2005,7,1,150,109,4/17/2005,2005,187.5
41,D-Control,,Digidesign,,Senior Mechanical Designer,PC II / Buckley,8/1/2004,2004,8,1,3/1/2005,2005,3,1,212,152,11/15/2004,2004,265
40,D-Command,,Digidesign,,Senior Mechanical Designer,,4/1/2004,2004,4,1,9/1/2004,2004,9,1,153,110,6/16/2004,2004,191.25
39,Pro Control Jr.,,Digidesign,,Senior Mechanical Designer,Danko,6/1/2003,2003,6,1,4/1/2004,2004,4,1,305,219,10/31/2003,2003,381.25
38,002 Rack,,Digidesign,,Senior Mechanical Designer,,5/1/2003,2003,5,1,10/1/2003,2003,10,1,153,110,7/16/2003,2003,191.25
37,Mbox,,Digidesign,,Senior Mechanical Designer,,3/1/2003,2003,3,1,10/1/2003,2003,10,1,214,153,6/16/2003,2003,267.5
36,Xbox,,Mechanistic,"Microsoft, UltimateTV",Senior Mechanical Designer,,9/1/2002,2002,9,1,12/1/2002,2002,12,1,91,65,10/16/2002,2002,113.75
35,Receiver 5,,Mechanistic,"Microsoft, UltimateTV",Senior Mechanical Designer,Bart,6/1/2002,2002,6,1,8/1/2002,2002,8,1,61,44,7/1/2002,2002,76.25
34,Receiver 4,,Mechanistic,"Microsoft, UltimateTV",Senior Mechanical Designer,Zeus,1/1/2002,2002,1,1,5/1/2002,2002,5,1,120,87,3/2/2002,2002,150
33,Receiver 3,,Mechanistic,"Microsoft, UltimateTV",Senior Mechanical Designer,minimerc,10/1/2001,2001,10,1,12/1/2001,2001,12,1,61,45,10/31/2001,2001,76.25
32,Receiver 2,,Mechanistic,"Microsoft, UltimateTV",Senior Mechanical Designer,Elmer,9/1/2001,2001,9,1,11/1/2001,2001,11,1,61,44,10/1/2001,2001,76.25
31,Mercury LC,,Mechanistic,"Microsoft, UltimateTV",Senior Mechanical Designer,,7/1/2001,2001,7,1,1/1/2002,2002,1,1,184,132,10/1/2001,2001,230
30,usb box,,Mechanistic,UltimateTV,Senior Mechanical Designer,,6/1/2001,2001,6,1,8/1/2001,2001,8,1,61,44,7/1/2001,2001,76.25
29,Remotes,,Mechanistic,UltimateTV,Senior Mechanical Designer,Cambria,5/1/2001,2001,5,1,8/1/2001,2001,8,1,92,67,6/16/2001,2001,115
28,Receiver 1,,Mechanistic,UltimateTV,Senior Mechanical Designer,Galaxy,4/1/2001,2001,4,1,11/1/2001,2001,11,1,214,154,7/17/2001,2001,267.5
27,Node,,Mechanistic,UltimateTV,Senior Mechanical Designer,minime,12/1/2000,2000,12,1,1/1/2001,2001,1,1,31,22,12/16/2000,2000,38.75
26,Media Nodes,,Mechanistic,UltimateTV,Senior Mechanical Designer,Pluto  ,11/1/2000,2000,11,1,4/1/2001,2001,4,1,151,108,1/15/2001,2001,188.75
25,MP6000 MP3 Player,,Mechanistic,Motorola,Senior Mechanical Designer,,7/1/2000,2000,7,1,11/1/2000,2000,11,1,123,88,8/31/2000,2000,153.75
24,Keyboard,,Mechanistic,WebTV,Senior Mechanical Designer,Cortez,5/1/2000,2000,5,1,7/1/2000,2000,7,1,61,45,5/31/2000,2000,76.25
23,LapTV,,Mechanistic,WebTV,Senior Mechanical Designer,Cortez,4/1/2000,2000,4,1,6/1/2000,2000,6,1,61,44,5/1/2000,2000,76.25
22,Remote,,Mechanistic,WebTV,Senior Mechanical Designer,,4/1/2000,2000,4,1,5/1/2000,2000,5,1,30,21,4/16/2000,2000,37.5
21,Netscreen-500,,Mechanistic,D2M,Senior Mechanical Designer,,2/1/2000,2000,2,1,4/1/2000,2000,4,1,60,44,3/2/2000,2000,75
20,320 540,,Mechanistic,Function,Senior Mechanical Designer,,8/1/1998,1998,8,1,9/1/1998,1998,9,1,31,22,8/16/1998,1998,38.75
19,HP Jornada,,Mechanistic,Fitch,Senior Mechanical Designer,kiwi,6/1/1998,1998,6,1,7/1/1998,1998,7,1,30,23,6/16/1998,1998,37.5
18,DVDO Player,,frogdesign,,Mechanical Designer,,3/1/1998,1998,3,1,5/1/1998,1998,5,1,61,45,3/31/1998,1998,76.25
17,Vadem Clio,,frogdesign,,Mechanical Designer,,10/1/1997,1997,10,1,11/1/1997,1997,11,1,31,23,10/16/1997,1997,38.75
16,KaVo Dental Unit 2,,frogdesign,,Mechanical Designer,X-Unit,7/1/1997,1997,7,1,12/1/1997,1997,12,1,153,110,9/15/1997,1997,191.25
15,Acer Phone,,frogdesign,,Mechanical Designer,,7/1/1997,1997,7,1,8/1/1997,1997,8,1,31,24,7/16/1997,1997,38.75
14,KaVo Dental Unit 1,,Mechanistic,frogdesign,Mechanical Designer,Edeca,7/1/1997,1997,7,1,10/1/1997,1997,10,1,92,67,8/16/1997,1997,115
13,Acer subwoofer,,Mechanistic,frogdesign,Mechanical Designer,Sunny,6/1/1997,1997,6,1,8/1/1997,1997,8,1,61,45,7/1/1997,1997,76.25
12,Newscorp set-top box,,Mechanistic,frogdesign,Mechanical Designer,concave satbox,2/1/1997,1997,2,1,10/1/1997,1997,10,1,242,173,6/2/1997,1997,302.5
11,Packard Bell Convertible,,Mechanistic,frogdesign,Mechanical Designer,,2/1/1996,1996,2,1,3/1/1996,1996,3,1,29,22,2/15/1996,1996,36.25
10,Acer Aspire,,Mechanistic,frogdesign,Mechanical Designer,,2/1/1996,1996,2,1,5/1/1996,1996,5,1,90,65,3/17/1996,1996,112.5
9,Fissler BBQ,,Mechanistic,frogdesign,Mechanical Designer,,5/1/1995,1995,5,1,1/1/1996,1996,1,1,245,176,8/31/1995,1995,306.25
8,Sunbeam window toaster,,Mechanistic,frogdesign,Mechanical Designer,,1/1/1995,1995,1,1,3/1/1995,1995,3,1,59,43,1/30/1995,1995,73.75
7,Frantic Frames,,Mechanistic,,Mechanical Designer,,4/1/1992,1992,4,1,3/1/1993,1993,3,1,334,239,9/15/1992,1992,417.5
6,Indy,,Silicon Graphics,,Technician IV,,3/1/1992,1992,3,1,1/1/1993,1993,1,1,306,220,8/1/1992,1992,382.5
5,Indigo II,,Silicon Graphics,,Technician IV,,4/1/1991,1991,4,1,10/1/1992,1992,10,1,549,394,12/31/1991,1991,686.25
4,Indigo,,Silicon Graphics,,Technician IV,,11/1/1989,1989,11,1,6/1/1991,1991,6,1,577,413,8/16/1990,1990,721.25
3,Iris File,,Silicon Graphics,,Technician IV,,2/1/1990,1990,2,1,10/1/1990,1990,10,1,242,173,6/2/1990,1990,302.5
2,Personal IRIS,"Personal IRIS 4D 20, 25, 30, 35",Silicon Graphics,,Technician IV,,7/1/1989,1989,7,1,11/1/1991,1991,11,1,853,610,8/31/1990,1990,1066.25
1,EPT-1000,EPT-1000 Cardiac Ablation System,EP Technologies,,Production Supervisor,,1/1/1987,1987,1,1,6/1/1989,1989,6,1,882,631,3/17/1988,1988,1102.5
